course_id,course_credit,prereqdescription,career,equivalent_course_description,term,session,subject,catalogue,title,location_description,course_name,description
040329,3.0,,UGRD,,Winter,13W,COMP,108,COMP INDUS EXPER REF LRNG I,Sir George Williams Campus,COMP 108,This course is a reflective learning module for students in their related field which is based on their academic requirements and their first industrial experience.Prerequisite: Permission of the Faculty.
040329,3.0,,UGRD,,Summer,13W,COMP,108,COMP INDUS EXPER REF LRNG I,Sir George Williams Campus,COMP 108,This course is a reflective learning module for students in their related field which is based on their academic requirements and their first industrial experience.Prerequisite: Permission of the Faculty.
040331,3.0,,UGRD,,Winter,13W,COMP,208,COMP INDUS EXPER REF LRNG II,Sir George Williams Campus,COMP 208,This course expands on the students' second industrial experience term in their related field of study to further develop their knowledge and work-related skills.Prerequisite: COMP 108 and permission of the Faculty.
040331,3.0,,UGRD,,Summer,13W,COMP,208,COMP INDUS EXPER REF LRNG II,Sir George Williams Campus,COMP 208,This course expands on the students' second industrial experience term in their related field of study to further develop their knowledge and work-related skills.Prerequisite: COMP 108 and permission of the Faculty.
040331,3.0,,UGRD,,Fall,13W,COMP,208,COMP INDUS EXPER REF LRNG II,Sir George Williams Campus,COMP 208,This course expands on the students' second industrial experience term in their related field of study to further develop their knowledge and work-related skills.Prerequisite: COMP 108 and permission of the Faculty.
005337,3.0,   Never Taken/Not Registered: COMP248 You must complete 1 of the following rules   Course Prerequisite: MATH201,UGRD,,Winter,13W,COMP,218,FUNDAMENTALS OF PROGRAMMING,On Line,COMP 218,"Computers and computing: problem solving with computers, basic data types, expressions, assignments, control structures, simple library functions, programmer-defined functions, arrays of basic types. Basic elements of object-oriented programming: classes, objects and methods. Lectures: three hours per week. Tutorial: one hour per week.Prerequisite: MATH 201 or equivalent (no prior experience with computers is assumed).NOTE: Students who have received credit for COMP 248 may not take this course for credit."
005337,3.0,   Never Taken/Not Registered: COMP248 You must complete 1 of the following rules   Course Prerequisite: MATH201,UGRD,,Fall,13W,COMP,218,FUNDAMENTALS OF PROGRAMMING,On Line,COMP 218,"Computers and computing: problem solving with computers, basic data types, expressions, assignments, control structures, simple library functions, programmer-defined functions, arrays of basic types. Basic elements of object-oriented programming: classes, objects and methods. Lectures: three hours per week. Tutorial: one hour per week.Prerequisite: MATH 201 or equivalent (no prior experience with computers is assumed).NOTE: Students who have received credit for COMP 248 may not take this course for credit."
005350,3.0,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.,UGRD,SOEN 228 = COMP 228,Winter,13W,COMP,228,SYSTEM HARDWARE,Sir George Williams Campus,COMP 228,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.Description:Levels of system abstraction and von Neumann model. Basics of digital logic design. Data representation and manipulation. Instruction set architecture. Processor internals. Assembly language programming. Memory subsystem and cache management. I/O subsystem. Introduction to network organization and architecture.NOTE: Students who have received credit for SOEN 228 may not take this course for credit.
005350,3.0,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.,UGRD,SOEN 228 = COMP 228,Summer,6H1,COMP,228,SYSTEM HARDWARE,Sir George Williams Campus,COMP 228,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.Description:Levels of system abstraction and von Neumann model. Basics of digital logic design. Data representation and manipulation. Instruction set architecture. Processor internals. Assembly language programming. Memory subsystem and cache management. I/O subsystem. Introduction to network organization and architecture.NOTE: Students who have received credit for SOEN 228 may not take this course for credit.
005350,3.0,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.,UGRD,SOEN 228 = COMP 228,Fall,13W,COMP,228,SYSTEM HARDWARE,Sir George Williams Campus,COMP 228,Prerequisite/Corequisite:The following course must be completed previously: COMP 248. The following courses must be completed previously or concurrently: MATH 203 or Cegep Mathematics 103 or NYA; MATH 204 or Cegep Mathematics 105 or NYC.Description:Levels of system abstraction and von Neumann model. Basics of digital logic design. Data representation and manipulation. Instruction set architecture. Processor internals. Assembly language programming. Memory subsystem and cache management. I/O subsystem. Introduction to network organization and architecture.NOTE: Students who have received credit for SOEN 228 may not take this course for credit.
